Age,Gender,Study_Hours,Attendance,Previous_Score,Internet_Access,Extra_Classes,Parent_Education,Stress_Level,Final_Result
18,Male,3.0,85,72,Yes,Yes,Graduate,Low,Pass
19,Female,2.0,78,65,Yes,No,HighSchool,Medium,Pass
18,Male,1.0,60,45,No,No,HighSchool,High,Fail
20,Female,4.0,90,80,Yes,Yes,PostGraduate,Low,Pass
21,Male,0.5,55,40,No,No,HighSchool,High,Fail
19,Male,2.5,75,68,Yes,Yes,Graduate,Medium,Pass
18,Female,1.0,65,50,Yes,No,Graduate,Medium,Fail
20,Male,3.5,88,78,Yes,Yes,PostGraduate,Low,Pass
21,Female,0.8,58,42,No,No,HighSchool,High,Fail
19,Male,2.0,70,60,Yes,No,Graduate,Medium,Pass
18,Female,4.0,92,85,Yes,Yes,PostGraduate,Low,Pass
20,Male,1.5,68,55,Yes,No,Graduate,Medium,Fail
21,Female,0.6,50,38,No,No,HighSchool,High,Fail
19,Male,3.0,82,75,Yes,Yes,Graduate,Low,Pass
18,Female,2.2,74,67,Yes,Yes,Graduate,Medium,Pass
20,Male,1.0,62,48,No,No,HighSchool,High,Fail
21,Female,3.8,89,82,Yes,Yes,PostGraduate,Low,Pass
19,Male,0.7,57,43,No,No,HighSchool,High,Fail
18,Female,2.8,80,70,Yes,Yes,Graduate,Medium,Pass
20,Male,1.2,66,52,Yes,No,Graduate,Medium,Fail
21,Female,4.0,94,88,Yes,Yes,PostGraduate,Low,Pass
19,Male,2.0,72,63,Yes,No,Graduate,Medium,Pass
18,Female,0.9,59,44,No,No,HighSchool,High,Fail
20,Male,3.3,86,77,Yes,Yes,Graduate,Low,Pass
21,Female,1.1,64,49,Yes,No,Graduate,Medium,Fail
